1	2	0	10	0
2	1	0	10	0
2	3	0	7	0
3	2	0	7	0
3	4	0	5	0
4	3	0	5	0
4	5	0	3	0
5	4	0	3	0
5	6	0	8	0
6	5	0	8	0
6	7	0	7	0
7	6	0	7	0
7	8	0	5	0
8	7	0	5	0
8	9	0	1	0
9	8	0	1	0
9	10	0	2	0
10	9	0	2	0
10	11	0	3	0
11	10	0	3	0
11	12	0	3	0
12	11	0	3	0
12	13	0	4	0
13	12	0	4	0
14	5	0	3	0
5	14	0	3	0
7	15	0	6	0
15	7	0	6	0
15	16	0	5	0
16	15	0	5	0
16	17	0	2	0
17	16	0	2	0
17	18	0	2	0
18	17	0	2	0
18	19	0	2	0
19	18	0	2	0
19	20	0	3	0
20	19	0	3	0
21	22	0	2	0
22	21	0	2	0
22	23	0	3	0
23	22	0	3	0
23	6	0	2	0
6	23	0	2	0
6	24	0	5	0
24	6	0	5	0
24	25	0	5	0
25	24	0	5	0
25	26	0	4	0
26	25	0	4	0
26	27	0	3	0
27	26	0	3	0
27	28	0	5	0
28	27	0	5	0
28	29	0	6	0
29	28	0	6	0
16	30	0	3	0
30	16	0	3	0
30	31	0	2	0
31	30	0	2	0
31	32	0	2	0
32	31	0	2	0
33	34	0	2	0
34	33	0	2	0
34	35	0	2	0
35	34	0	2	0
35	36	0	2	0
36	35	0	2	0
36	23	0	3	0
23	36	0	3	0
5	37	0	3	0
37	5	0	3	0
37	38	0	2	0
38	37	0	2	0
38	39	0	4	0
39	38	0	4	0
15	40	0	4	0
40	15	0	4	0
40	41	0	4	0
41	40	0	4	0
41	42	0	5	0
42	41	0	5	0
42	43	0	4	0
43	42	0	4	0
43	44	0	3	0
44	43	0	3	0
44	45	0	3	0
45	44	0	3	0
46	47	0	4	0
47	46	0	4	0
47	48	0	3	0
48	47	0	3	0
48	49	0	2	0
49	48	0	2	0
49	50	0	3	0
50	49	0	3	0
50	24	0	4	0
24	50	0	4	0
4	51	0	5	0
51	4	0	5	0
51	52	0	5	0
52	51	0	5	0
52	53	0	4	0
53	52	0	4	0
53	54	0	2	0
54	53	0	2	0
54	8	0	5	0
8	54	0	5	0
9	55	0	2	0
55	9	0	2	0
55	56	0	4	0
56	55	0	4	0
56	43	0	3	0
43	56	0	3	0
43	18	0	5	0
18	43	0	5	0
16	25	0	6	0
25	16	0	6	0
25	57	0	2	0
57	25	0	2	0
57	50	0	3	0
50	57	0	3	0
